ID palestra,Palestrante,Título,Link,Revisado por,Revisado em,38
36,Nelson de Campos Nolasco,Python e Psicologia o que uma tem a oferecer a outra: a resposta para a pergunta - Por que Python atravessou a rua?,,,,
37,Paulo Henrique de Lima Santana,Software Livre e Código Aberto - você também pode contribuir!,https://drive.google.com/open?id=1yVxf3jmOx-573i2Gpy38s7pOwC8x_j9Q,Mawkee,2019-10-21,
38,Pietra Freitas,Código à prova de raios cósmicos,https://drive.google.com/open?id=1HYwIqE8W3NgREnD7vCyfdgMfIZ_eEQto,Mawkee,2019-10-16,
39,PyLadies Brasil,"Seis anos de PyLadies Brasil: impactos, perspectivas e desafios",,,,
40,Rafael Calixto,Python para Quants - Como Python pode ajudar na análise de investimentos,https://drive.google.com/file/d/1vOKRpsNnEZvWtTv-fuzJzFpEBk4W_9tN/view,Mawkee,2019-10-15,
41,Rafael Henrique da Silva Correia,Construindo plugins para o Pytest,https://docs.google.com/presentation/d/1sV1oKM4wve_kg1oBSf8xE1Nz4Ywku_l6cMsh9BNnlKs/edit?usp=sharing,Mawkee,2019-10-15,
42,Rebeca Sarai,[algoritmo.info for algoritmo in algoritmos.sort()],https://drive.google.com/open?id=10CUabqbSO0gVzWXgVpXAlIky0EV-l9SL,Mawkee,2019-10-21,
43,Renne Rocha,"Continuous Documentation: se não está documentado, seu projeto não existe",https://drive.google.com/open?id=13KBr9W6LosiFOrd4Btw6G1sTK6cBMIgg,,,
44,Rodrigo Mendonça,Microsserviços prontos para produção,https://drive.google.com/open?id=1D-Um4jk6co9EaODpaEGy6cOczCcP_IZ_,Mawkee,2019-10-15,
45,Samuel Agnew,Generating Nintendo Music Over the Phone in Python with Magenta,,,,
46,Thais Gomes de Almeida,Fato ou Fake? Combatendo desinformação com Aprendizagem de Máquina e Processamento de Linguagem Natural,https://drive.google.com/open?id=1NMjtBM8KOHh6veRc-mtDkIZlDU7S4N8I,Mawkee,2019-10-24,
47,Tyrone Macedo Damasceno,1 ano após primeira Python Brasil,https://slides.com/tyronedamasceno/bazuca-ou-canivete-6/fullscreen,Mawkee,2019-10-16,
48,William Lino Oliveira,Aplicando DevOps com Automações feitas em Python e Flask,https://drive.google.com/file/d/1s609lBPVVB81OHfTxxMxH-1879xXYHse/view?usp=sharing,Ana Dulce,2019-10-19,
49,Yan Orestes,Como ensinar Python?,,,,
50,Patricia Cucio Guisordi,Título Por onde começar a estudar Ciência de Dados?,,,,
51,Felipe Videira Rodrigues,"Python, Tipos e Segurança",https://drive.google.com/open?id=185lTVrL_vfvb25TMBctL3ToJWHLhxXpA,Mawkee,2019-10-24,
52,Grupo de Estudos em Data Science,Como um grupo de estudos estimula a troca de saber dentro da comunidade PyLadies São Paulo,,,,
53,Matheus Hernandes,Fazendo as pazes com projetos legados,,,,
54,Bernardo Fontes,Desenhando com Python dentro do Navegador,https://berinhard.github.io/talks/2019_pybr/index.html,Mawkee,2019-10-21,
55,PyLadies Manaus,Empoderando mulheres na Amazônia,https://drive.google.com/open?id=15ksZHIU6OfHYJ0WaiMkfs6AMYTJlBP-l,Mawkee,2019-10-21,
56,Ryllari Santana,Tijolinho por tijolinho: Construindo APIs com Django,https://drive.google.com/open?id=1gtIIyAshbZmMV6pwTgokIqk2rumfqOBO,Mawkee,2019-10-21,
57,Gabriel Bellon,Cada um com seu modelo - Criando um modelo de classificação e de sugestão único por usuário,https://drive.google.com/open?id=1JA-URISYjomJ8krFMJ-5QkS3M15JX7b0,Mawkee,2019-10-16,
58,Daniele Nazaré Tavares,Uma abordagem de Computação Quântica usando a ferramenta Qiskit em Python,https://drive.google.com/open?id=1EsXEqyrheKpeaDZC1Vw9z9Nttc0DBIcA,Mawkee,2019-10-19,
59,Bianca Rosa,Python on Kubernetes: Garantindo escalabilidade em aplicações produtivas,,,,
